,price,Year,Hand,Kilometer,Area,Gearbox,Engine capcity,Color,manufacturer,type
76,97000.0,2018.0,2.0,101000.0, עמק יזרעאל,אוטומטית,1580.0,             לבן,יונדאי, איוניק
77,5000.0,2006.0,3.0,230000.0, רעננה - כפר סבא,אוטומטית,1495.0,             כסוף,יונדאי, אקסנט
78,16500.0,2014.0,5.0,145000.0, מושבים בשרון,ידנית,998.0,             לבן,יונדאי, i10
79,10500.0,2009.0,2.0,224000.0, תל אביב,אוטומטית,1399.0,             כסוף,יונדאי, אקסנט
80,15500.0,2012.0,3.0,190000.0, מודיעין והסביבה,ידנית,1086.0,             כחול מטאלי,יונדאי, i10
82,55000.0,2016.0,2.0,35000.0, כרמיאל והסביבה,אוטומטית,1368.0,             תכלת מטאלי,יונדאי, i25
83,42000.0,2015.0,2.0,143000.0, חולון - בת ים,אוטומטית,1591.0,             לבן,יונדאי, i25
84,37000.0,2015.0,2.0,62000.0, מושבים בשפלה,אוטומטית,998.0,             אפור עכבר,יונדאי, i10
85,42000.0,2016.0,2.0,164000.0, מושבים בצפון,אוטומטית,1368.0,             אפור מטאלי,יונדאי, i20
86,51500.0,2015.0,2.0,100000.0, קריות,אוטומטית,1591.0,             לבן,יונדאי, i35
87,6500.0,2006.0,4.0,160000.0, באר שבע והסביבה,אוטומטית,1495.0,             כחול בהיר,יונדאי, אקסנט
88,127000.0,2020.0,1.0,23000.0, בקעת אונו,אוטומטית,1580.0,             אפור מטאלי,יונדאי, איוניק
89,20000.0,2009.0,2.0,132300.0," ראשל""צ והסביבה",אוטומטית,1396.0,             כחול כהה,יונדאי, i20
90,22700.0,2011.0,3.0,107100.0, רמלה - לוד,אוטומטית,1086.0,             לבן,יונדאי, i10
92,29000.0,2015.0,2.0,89000.0, מושבים בצפון,ידנית,998.0,             אדום,יונדאי, i10
94,79250.0,2019.0,1.0,20300.0, רמת גן - גבעתיים,אוטומטית,998.0,             אפור מטאלי,יונדאי, i20
95,78999.0,2018.0,2.0,60000.0, חיפה וחוף הכרמל,אוטומטית,1580.0,             כסוף,יונדאי, איוניק
96,8200.0,2009.0,2.0,217000.0, בקעת אונו,אוטומטית,1399.0,             תכלת מטאלי,יונדאי, אקסנט
97,15000.0,2011.0,3.0,182000.0, באר שבע והסביבה,אוטומטית,1086.0,             כסוף,יונדאי, i10
98,5200.0,2006.0,3.0,318000.0, חיפה וחוף הכרמל,אוטומטית,1495.0,             לבן,יונדאי, אקסנט
101,35000.0,2013.0,2.0,122842.0, חיפה וחוף הכרמל,אוטומטית,1396.0,             שחור,יונדאי, i25
102,10000.0,2010.0,3.0,200000.0, באר שבע והסביבה,אוטומטית,1399.0,             לבן,יונדאי, אקסנט
103,43000.0,2012.0,2.0,116000.0, פתח תקוה והסביבה,אוטומטית,1591.0,             סגול חציל,יונדאי, i30
104,12000.0,2012.0,3.0,220000.0, טבריה והסביבה,אוטומטית,1399.0,             זהב מטאלי,יונדאי, אקסנט
105,37500.0,2013.0,3.0,168000.0, רמלה - לוד,אוטומטית,1591.0,             כסוף,יונדאי, i35
106,28000.0,2011.0,3.0,176200.0, רמלה - לוד,אוטומטית,1396.0,             אפור עכבר,יונדאי, i25
107,15990.0,2009.0,3.0,209000.0, יישובי השומרון,אוטומטית,1591.0,             תכלת,יונדאי, i30cw
108,35000.0,2014.0,3.0,105.0, רעננה - כפר סבא,אוטומטית,998.0,             אפור,יונדאי, i10
109,5500.0,2003.0,3.0,162000.0, רמת גן - גבעתיים,אוטומטית,1495.0,             זהב,יונדאי, אקסנט
110,11000.0,2012.0,3.0,200000.0, תל אביב,אוטומטית,1591.0,             לבן,יונדאי, i30cw
112,10000.0,2008.0,4.0,150000.0, ירושלים והסביבה,אוטומטית,1599.0,             לבן,יונדאי, אקסנט
114,24100.0,2012.0,3.0,109000.0, ירושלים והסביבה,אוטומטית,1248.0,             אפור מטאלי,יונדאי, i10
115,8190.0,2008.0,3.0,279000.0, מושבים בצפון,אוטומטית,1399.0,             כסוף,יונדאי, אקסנט
116,38000.0,2012.0,4.0,169000.0, ירושלים והסביבה,אוטומטית,1591.0,             שחור,יונדאי, i25
117,22000.0,2011.0,3.0,111000.0, רמת גן - גבעתיים,אוטומטית,1086.0,             אפור עכבר,יונדאי, i10
